Produit,Ticker/ISIN,Quantité,Clôture,Devise,Montant en EUR
CASH & CASH FUND & FTX CASH (EUR),,,,EUR 291.38,"291,38"
AMUNDI BLOOMBERG EQUAL-WEIGHT CO...,LU1829218749,325,"20,51",EUR 6664.78,"6664,78"
AMUNDI S&P GLOBAL LUXU,LU1681048630,10,"203,15",EUR 2031.50,"2031,50"
INTEL CORP,US4581401001,5,"41,40",EUR 207.03,"207,02"
LY WORLD CLIMATE,LU2056739464,329,"6,87",EUR 2259.57,"2259,57"
LYXOR EURO GOVERNMENT BOND (DR) ...,LU1650490474,4,"163,66",EUR 654.62,"654,62"
ROBLOX CORP -CLASS A,US7710491033,33,"40,49",USD 1336.17,"1241,30"
VITAL FARMS INC. - COMMON STOCK,US92847W1036,1,"15,13",USD 15.13,"14,06"
XTRACKERS MSCI WORLD ENERGY UCIT...,IE00BM67HM91,26,"42,34",EUR 1100.84,"1100,84"
ISHARES MSCI WORLD SMALL CAP UCI...,IE00BF4RFH31,125,"6,08",EUR 760.00,"760,00"
ISHARES PHYSICAL GOLD ETC,IE00B4ND3602,133,"35,88",EUR 4771.38,"4771,38"
